Model,Survival_Time,Reaction_Time,Run_Dir,Error
go75-avoid25,36.17900466918945,0.1685133251091849,runs2\00273,False
go100-avoid0,48.44887089729309,0.1660568673640171,runs2\00274,False
go0-avoid100,29.19342017173767,0.1718223123895084,runs2\00275,False
go25-avoid75,54.468942165374756,0.1724823171645097,runs2\00276,False
go50-avoid50,6.87136697769165,0.16719440206716663,runs2\00277,False
go75-avoid25,8.85294485092163,0.17630179289202003,runs2\00278,False
go100-avoid0,57.19001770019531,0.17080483174624653,runs2\00279,False
go0-avoid100,138.12570691108704,0.17261227622829206,runs2\00280,False
go25-avoid75,6.937240123748779,0.1824363749988535,runs2\00281,False
go50-avoid50,11.784997940063477,0.16262389312151346,runs2\00282,False
go75-avoid25,65.48921203613281,0.17125886258943848,runs2\00283,False
go100-avoid0,13.894731760025024,0.16288834987207895,runs2\00284,False
go0-avoid100,9.695769786834717,0.15740963648682268,runs2\00285,False
go25-avoid75,23.45286512374878,0.17069101732015585,runs2\00286,False
go50-avoid50,9.688536167144775,0.15837136915885605,runs2\00287,False
go75-avoid25,44.224334716796875,0.17415644903669697,runs2\00288,False
go100-avoid0,48.79198241233826,0.17012667241001722,runs2\00289,False
go0-avoid100,19.641297578811646,0.1709272228492884,runs2\00290,False
go25-avoid75,33.236918926239014,0.172106241062367,runs2\00291,False
go50-avoid50,9.925804615020752,0.1555778669099393,runs2\00292,False
go75-avoid25,47.85840058326721,0.17217511566996713,runs2\00293,False
go100-avoid0,9.589325904846191,0.1605077422514789,runs2\00294,False
go0-avoid100,13.945467948913574,0.16469505917281188,runs2\00295,False
go25-avoid75,28.164276599884033,0.17487927012787746,runs2\00296,False
go50-avoid50,47.371973752975464,0.17662609112698632,runs2\00297,True
go75-avoid25,1.7085111141204834,0.0,runs2\00298,True
go100-avoid0,26.31266713142395,0.16646239892384865,runs2\00299,False
go0-avoid100,25.076591730117798,0.15655045918678978,runs2\00300,False
go25-avoid75,22.112682819366455,0.15621380728541825,runs2\00301,False
go50-avoid50,25.468684911727905,0.15552089722608473,runs2\00302,True
go75-avoid25,42.230090618133545,0.17049660310517958,runs2\00303,False
go100-avoid0,30.333127737045288,0.1539048419425612,runs2\00304,False
go0-avoid100,39.571812868118286,0.15583748920083185,runs2\00305,False
go25-avoid75,52.75194501876831,0.1579061401289113,runs2\00306,False
go50-avoid50,40.3055260181427,0.15444962196480433,runs2\00307,False
go75-avoid25,59.167402267456055,0.16003576759540733,runs2\00308,False
go100-avoid0,51.40966773033142,0.16269151361217463,runs2\00309,False
go0-avoid100,44.79990577697754,0.15554260808753367,runs2\00310,False
go25-avoid75,22.973092079162598,0.15599154559405692,runs2\00311,False
go50-avoid50,10.236612796783447,0.14469859572609667,runs2\00312,False
go75-avoid25,11.213443994522095,0.14486385728280693,runs2\00313,False
go100-avoid0,5.535290002822876,0.15061434943142696,runs2\00314,False
go0-avoid100,22.256916761398315,0.15037017887568152,runs2\00315,False
go25-avoid75,73.12721538543701,0.15974991259193533,runs2\00316,False
go50-avoid50,157.85476636886597,0.16142812590288017,runs2\00317,False
go75-avoid25,33.91164946556091,0.16113134217403757,runs2\00318,True
go100-avoid0,56.297857999801636,0.1644588206654513,runs2\00319,False
go0-avoid100,28.186078548431396,0.15741008613186552,runs2\00320,False
go25-avoid75,110.99899077415466,0.16409498106767617,runs2\00321,False
go50-avoid50,71.56482362747192,0.15961602825865842,runs2\00322,False
go75-avoid25,37.00066828727722,0.15653731241099236,runs2\00323,False
go100-avoid0,34.126168966293335,0.15690203651810647,runs2\00324,False
go0-avoid100,13.533564329147339,0.14204307143497935,runs2\00325,False
go25-avoid75,38.400546073913574,0.16232943027571606,runs2\00326,False
go50-avoid50,21.690540075302124,0.16064887234851408,runs2\00327,False
go75-avoid25,114.76675295829773,0.16808242391350559,runs2\00328,False
go100-avoid0,42.3827908039093,0.16049657090615269,runs2\00329,False
go0-avoid100,13.92722487449646,0.14972361914352905,runs2\00330,False
go25-avoid75,6.74000358581543,0.14736537717638123,runs2\00331,False
go50-avoid50,47.446572065353394,0.16122120370974927,runs2\00332,True
go75-avoid25,58.552833557128906,0.16418727890326898,runs2\00333,False
go100-avoid0,27.5581157207489,0.15989572708551136,runs2\00334,False
go0-avoid100,11.213823795318604,0.14214455753743696,runs2\00335,False
go25-avoid75,9.108847618103027,0.1394330222690352,runs2\00336,False
go50-avoid50,69.09831070899963,0.16265378747916837,runs2\00337,False
go75-avoid25,103.84293985366821,0.1643584090166986,runs2\00338,False
go100-avoid0,17.25137734413147,0.14896006538714265,runs2\00339,False
go0-avoid100,24.88666272163391,0.15613092595505038,runs2\00340,False
go25-avoid75,204.75867319107056,0.16437949328081894,runs2\00341,False
go50-avoid50,15.327150821685791,0.14644987769007015,runs2\00342,True
go75-avoid25,24.945363521575928,0.16244378256322906,runs2\00343,False
go100-avoid0,6.564915418624878,0.14720325262365444,runs2\00344,False
go0-avoid100,62.38342213630676,0.16618597641240887,runs2\00345,False
go25-avoid75,51.290679693222046,0.1598833817211091,runs2\00346,False
go50-avoid50,38.06092381477356,0.15617013979684533,runs2\00347,False
go75-avoid25,31.044023275375366,0.16172584840462328,runs2\00348,False
go100-avoid0,20.9482364654541,0.1514446193694357,runs2\00349,False
go0-avoid100,125.99135732650757,0.16297712224020242,runs2\00350,False
go25-avoid75,16.71727466583252,0.15149298041249087,runs2\00351,False
go50-avoid50,43.00109028816223,0.16006038803960268,runs2\00352,False
go75-avoid25,93.04870796203613,0.1634488718034151,runs2\00353,False
go100-avoid0,11.433963775634766,0.14669637627979012,runs2\00354,False
go0-avoid100,45.58385491371155,0.15992464975960685,runs2\00355,False
go25-avoid75,66.25861620903015,0.16211554642397008,runs2\00356,False
go50-avoid50,38.70397400856018,0.15894916804139447,runs2\00357,True
go75-avoid25,47.165262937545776,0.16910764520690974,runs2\00358,False
go100-avoid0,21.24642848968506,0.16151638809667776,runs2\00359,False
go0-avoid100,85.06610345840454,0.1629863601001071,runs2\00360,False
go25-avoid75,93.9177918434143,0.16891668841135962,runs2\00361,False
go50-avoid50,25.012867212295532,0.15961590980884088,runs2\00362,False
go75-avoid25,9.03731393814087,0.1391395290568598,runs2\00363,False
go100-avoid0,25.208396434783936,0.15879055492481609,runs2\00364,False
go0-avoid100,9.548852682113647,0.1477285566511881,runs2\00365,False
go25-avoid75,15.06196117401123,0.16939569209821154,runs2\00366,False
go50-avoid50,31.150175094604492,0.15291022666278276,runs2\00367,False
go75-avoid25,40.217036962509155,0.16348623734018314,runs2\00368,False
go100-avoid0,20.75786018371582,0.15382414094827757,runs2\00369,False
go0-avoid100,17.965525150299072,0.1573561217234793,runs2\00370,False
go25-avoid75,24.5514657497406,0.1604918596223574,runs2\00371,False
go50-avoid50,34.53174638748169,0.16130809548433175,runs2\00372,False
go75-avoid25,22.016335010528564,0.15535513581098293,runs2\00373,False
go100-avoid0,21.922112703323364,0.1540510704077409,runs2\00374,False
go0-avoid100,35.92916703224182,0.1587376859522334,runs2\00375,False
go25-avoid75,86.68718838691711,0.16362932847285844,runs2\00376,False
go50-avoid50,31.376861095428467,0.16173199960371806,runs2\00377,False
go75-avoid25,30.844269275665283,0.1577004369598048,runs2\00378,False
go100-avoid0,39.42149829864502,0.15913230428509967,runs2\00379,False
go0-avoid100,21.227158546447754,0.16428144739499193,runs2\00380,False
go25-avoid75,27.935017824172974,0.15776102476014117,runs2\00381,False
go50-avoid50,51.5561044216156,0.1633713533378237,runs2\00382,False
go75-avoid25,41.63632655143738,0.15622018671542437,runs2\00383,False
go100-avoid0,27.74736523628235,0.1599729963760443,runs2\00384,False
go0-avoid100,47.98398232460022,0.16032012106481805,runs2\00385,False
go25-avoid75,27.851807355880737,0.1611859400048816,runs2\00386,False
go50-avoid50,44.12748456001282,0.16452793372592303,runs2\00387,False
go75-avoid25,78.17143392562866,0.1686281919220387,runs2\00388,False
go100-avoid0,24.684972286224365,0.160081679301121,runs2\00389,False
go0-avoid100,16.02479338645935,0.15207002857452154,runs2\00390,False
go25-avoid75,11.608412742614746,0.1673826591609629,runs2\00391,False
go50-avoid50,10.422292709350586,0.14516593579967557,runs2\00392,False
go75-avoid25,11.414904594421387,0.145946141238128,runs2\00393,False
go100-avoid0,44.86651873588562,0.16060892109091257,runs2\00394,False
go0-avoid100,165.81937956809998,0.16561125327011117,runs2\00395,False
go25-avoid75,24.218031406402588,0.1605897241697547,runs2\00396,False
go50-avoid50,17.435827016830444,0.16392013058005053,runs2\00397,True
go75-avoid25,49.906453132629395,0.16475412973361808,runs2\00398,False
go100-avoid0,68.0812656879425,0.16251127449027028,runs2\00399,False
go0-avoid100,25.161608457565308,0.1576851885154293,runs2\00400,False
go25-avoid75,41.086162090301514,0.15968489177250175,runs2\00401,False
go50-avoid50,49.98357272148132,0.1600118311552765,runs2\00402,False
go75-avoid25,38.674174785614014,0.1686491296570861,runs2\00403,False
go100-avoid0,12.648712635040283,0.1583665113378378,runs2\00404,False
go0-avoid100,41.14831280708313,0.15849420912079884,runs2\00405,False
go25-avoid75,21.00990915298462,0.15792726483352543,runs2\00406,False
go50-avoid50,28.399120330810547,0.1579063906637751,runs2\00407,True
go75-avoid25,28.50095224380493,0.17006371363045078,runs2\00408,False
