react_avg,react_std,cycle_avg,cycle_std,runtime_min,picdir,name
0.124943990685624,0.0084171005027635,0.1849676755254819,0.0084171005027635,1.347181236743927,runs4\00141,random_bull
0.1222238622862717,0.0054566245088206,0.1687890206064496,0.0054566245088206,0.0787682096163431,runs4\00142,random_bull
0.1225652950150626,0.0073923162748975,0.1720582732447871,0.0073923162748975,0.0774262229601542,runs4\00143,random_bull
0.1227105821881975,0.0058680893139462,0.1732412576675415,0.0058680893139462,0.0981700460116068,runs4\00144,random_bull
0.1226577847092239,0.0069533227738873,0.1735220413941603,0.0069533227738873,0.0751928846041361,runs4\00145,random_bull
0.1232197108092131,0.0067049147685799,0.1714272590783926,0.0067049147685799,0.0742851456006368,runs4\00146,random_bull
0.1229697721345084,0.0086799156617412,0.1738955091547083,0.0086799156617412,0.0782529791196187,runs4\00147,random_bull
0.1244926781489931,0.0053961860595574,0.1720531071935381,0.0053961860595574,0.0802914500236511,runs4\00148,random_bull
0.1265236626208668,0.0068231921731145,0.1801273993083409,0.0068231921731145,0.2101486325263977,runs4\00149,random_bull
0.1221393006188528,0.0066531833918574,0.1731080125879358,0.0066531833918574,0.0778986056645711,runs4\00150,random_bull
0.1213879338626203,0.0020676129202216,0.1702939186777387,0.0020676129202216,0.0794704953829447,runs4\00151,random_bull
0.1221771325383867,0.0055403021566255,0.1731055489292851,0.0055403021566255,0.0778974970181783,runs4\00152,random_bull
0.1223216312272208,0.0070082569171364,0.1728321534615975,0.0070082569171364,0.0777744690577189,runs4\00153,random_bull
0.1244512711252485,0.0118998111618298,0.1739577010825828,0.0118998111618298,0.0782809654871622,runs4\00154,random_bull
0.1219887818608965,0.005880090716772,0.1709241955368607,0.005880090716772,0.0769158879915873,runs4\00155,random_bull
0.1227021813392639,0.0083855551483489,0.1720189695005063,0.0083855551483489,0.0774085362752278,runs4\00156,random_bull
0.1225690245628357,0.0059296036549379,0.1717877917819553,0.0059296036549379,0.0773045063018798,runs4\00157,random_bull
0.1230079276221139,0.0064045654389513,0.1727162996927897,0.0064045654389513,0.0777223348617553,runs4\00158,random_bull
0.1206169786124393,0.001731672340986,0.1696655665125165,0.001731672340986,0.0791772643725077,runs4\00159,random_bull
0.1214250723520914,0.0005578631111169,0.1724284887313842,0.0005578631111169,0.0057476162910461,runs4\00160,random_bull
0.1267126401265462,0.0079321588649471,0.1678674221038818,0.0079321588649471,0.005595580736796,runs4\00161,random_bull
0.122516393661499,0.0006522652158018,0.1724976301193237,0.0006522652158018,0.0057499210039774,runs4\00162,random_bull
0.1237451235453287,0.0024171325771128,0.1690199375152588,0.0024171325771128,0.0056339979171752,runs4\00163,random_bull
0.1234505971272786,0.0017165599515802,0.1835060119628906,0.0017165599515802,0.0061168670654296,runs4\00164,random_bull
0.1222074826558431,0.0008539309330651,0.1699334383010864,0.0008539309330651,0.0056644479433695,runs4\00165,random_bull
0.1238245169321696,0.0027814815240311,0.1756784915924072,0.0027814815240311,0.0058559497197469,runs4\00166,random_bull
0.1291024684906005,0.0059355812455211,0.1877762079238891,0.0059355812455211,0.0062592069307963,runs4\00167,random_bull
0.1259497006734212,0.0014674238584783,0.183117389678955,0.0014674238584783,0.0061039129892985,runs4\00168,random_bull
0.1233444213867187,0.0024441880236109,0.1782110929489135,0.0024441880236109,0.0059403697649637,runs4\00169,random_bull
0.1263611316680908,0.0029261400076623,0.1682064533233642,0.0029261400076623,0.0056068817774454,runs4\00170,random_bull
0.1252562999725341,0.0044103203690618,0.1671230792999267,0.0044103203690618,0.0055707693099975,runs4\00171,random_bull
0.1266905466715494,0.002484558371908,0.1853638887405395,0.002484558371908,0.0061787962913513,runs4\00172,random_bull
0.1273919741312662,0.004407598462339,0.175521969795227,0.004407598462339,0.0058507323265075,runs4\00173,random_bull
0.1249386469523112,0.0020671012018374,0.1771612167358398,0.0020671012018374,0.0059053738911946,runs4\00174,random_bull
0.1286881764729817,0.0020419101792927,0.1881598234176635,0.0020419101792927,0.0062719941139221,runs4\00175,random_bull
0.126415729522705,0.0026712560673164,0.1894184350967407,0.0026712560673164,0.006313947836558,runs4\00176,random_bull
0.1284600098927815,0.0047801139982657,0.1823302507400512,0.0047801139982657,0.0060776750246683,runs4\00177,random_bull
0.1264179547627767,0.0016502489390252,0.1836090087890625,0.0016502489390252,0.0061203002929687,runs4\00178,random_bull
0.126878023147583,0.0026377932316178,0.1838274002075195,0.0026377932316178,0.0061275800069173,runs4\00179,random_bull
0.1259074211120605,0.0026643691923751,0.1814396381378173,0.0026643691923751,0.0060479879379272,runs4\00180,random_bull
0.1270671685536702,0.0035046624278607,0.1813786029815673,0.0035046624278607,0.0060459534327189,runs4\00181,random_bull
0.1224496364593505,0.0020800268952,0.1773860454559326,0.0020800268952,0.0059128681818644,runs4\00182,random_bull
0.1246341864267985,0.0027691910765306,0.1759959459304809,0.0027691910765306,0.005866531531016,runs4\00183,random_bull
0.1246689160664876,0.0031561110934756,0.1759853363037109,0.0031561110934756,0.0058661778767903,runs4\00184,random_bull
0.1237290700276692,0.000510928598312,0.1720350980758667,0.000510928598312,0.0057345032691955,runs4\00185,random_bull
0.1268243789672851,0.0031918706892646,0.1844393014907837,0.0031918706892646,0.0061479767163594,runs4\00186,random_bull
0.1288902759552002,0.0035159399753537,0.1854631900787353,0.0035159399753537,0.0061821063359578,runs4\00187,random_bull
0.1228980223337809,0.0028763932664576,0.1722501516342163,0.0028763932664576,0.0057416717211405,runs4\00188,random_bull
0.1248056888580322,0.0038946932551574,0.1766656637191772,0.0038946932551574,0.0058888554573059,runs4\00189,random_bull
0.124273141225179,0.0027887650716822,0.1667871475219726,0.0027887650716822,0.0055595715840657,runs4\00190,random_bull
0.1216533184051513,0.0015763680779436,0.168180227279663,0.0015763680779436,0.0056060075759887,runs4\00191,random_bull
0.1252026557922363,0.0013315600731085,0.1710968017578125,0.0013315600731085,0.0057032267252604,runs4\00192,random_bull
0.123204231262207,0.0013839677655201,0.1759605407714843,0.0013839677655201,0.0058653513590494,runs4\00193,random_bull
0.124534527460734,0.002269700347217,0.1696290969848632,0.002269700347217,0.0056543032328287,runs4\00194,random_bull
0.123240311940511,0.0020743229577261,0.1683887243270874,0.0020743229577261,0.0056129574775695,runs4\00195,random_bull
0.1235180695851643,0.0021304072680536,0.1643967628479004,0.0021304072680536,0.00547989209493,runs4\00196,random_bull
